,Return_on_Equity,Trailing_Annual_Dividend_Yield,Total_Debt/Equity_(mrq),Total_Cash_(mrq),5_Year_Average_Dividend_Yield
26,-0.2060460023141221,-0.5784495343141292,0.0143859630699926,-0.3227061518015383,
27,-0.175994322683168,-0.5784495343141292,0.0197321444848031,-0.2467865644121166,
28,-0.2093850778286726,-0.3131137099427465,-0.4160538865170478,-0.2723157953436672,
29,0.1394572477459985,-0.5784495343141292,0.0672698116597397,-0.2864383486249504,
30,-0.2358548400894725,1.196888345116213,0.2595396874067986,-0.3265518316950569,1.391486116151431
31,-0.1587525509353075,1.9157072147768672,-0.3744885301118094,-0.312320643388533,1.0204231518443827
32,-0.0800110792558177,0.5166637771823045,-0.4828089085073843,-0.3267012048547628,0.4052398162826977
33,,-0.5784495343141292,6.30871987636662,-0.2486876773538278,
34,-0.1997321140684267,-0.5157337940081661,0.1430314636011535,-0.2693283321495496,
35,-0.2019784012327607,-0.5784495343141292,-0.4368124828214021,-0.2562921291206727,
36,-0.1340433921276342,-0.5784495343141292,-0.5057830394521106,2.922640296983571,
37,-0.1340433921276342,-0.5784495343141292,-0.5057830394521106,2.922640296983571,
38,-0.104780948527392,0.434650886012968,0.0192505065195049,-0.1194119973174656,0.0732361113763912
39,0.2755093973479544,-0.5784495343141292,-0.1342956768175752,-0.3257723753889553,
40,-0.3960090438600926,-0.5784495343141292,-0.3721766678783777,-0.3094418152196561,
41,-0.1928718316476231,-0.30346513451106,,,-1.2450138933986483
42,-0.2103564452510873,-0.5784495343141292,,-0.1587921939671978,
43,-0.2352477354504634,6.942615014685607,-0.4441333798939353,6.247143656910272,
44,-0.2411366504488524,0.6662166963734474,-0.2789797215931676,-0.3277196582163938,0.2880620380804718
45,-0.2508503246729992,1.6214256641104243,-0.3637480034856584,-0.3062642407313674,2.944091677330922
46,0.451994715907921,-0.1201422013090138,0.419347164292756,-0.243799101217999,-0.3759453717321407
47,-0.6599781409012813,-0.5784495343141292,-0.343326553757013,-0.2147392319661277,
48,0.0241680767981564,-0.0960207627297971,-0.2593770564055291,-0.1946417522966092,-0.5126527796347377
49,-0.0964636149729663,-0.5784495343141292,-0.3950063074335145,-0.3046347153527577,
50,8.495584788604363,-0.139439352172387,,-0.3153081065826507,-0.6103009281365923
51,-0.0539662902423241,0.2754493913901384,-0.1355479355273506,-0.3278119979878484,-0.4442990756834392
52,-0.1866186538658286,0.4925423386030879,-0.2128026651611889,-0.2910553371976777,0.1904138895786169
53,-0.0137152526760159,-0.5784495343141292,0.3630436861493911,-0.1856793627142563,-1.5379583389042129
54,-0.158388288151902,-0.5784495343141292,-0.5543803101507033,-0.2530330783634535,
55,-0.3631646828896963,-0.28899227136353,-0.4048798857221285,-0.0743284618425998,-1.5477231537543985
56,-0.1589346823270103,-0.5784495343141292,-0.192477543025603,-0.1210415226960752,
57,-0.0737579014740232,0.3381651316961016,0.0538802762244486,-0.2250595593639885,-0.6103009281365923
58,-0.0901497267272709,-0.3903023133962397,-0.5482153441948858,-0.3291699358033564,-1.5379583389042129
59,-0.0826823396674581,-0.5784495343141292,-0.3176070864100868,-0.2619954679458063,
60,,-0.5784495343141292,,-0.3325359920604376,
61,-0.0095262306668526,-0.5784495343141292,-0.0645063356458596,-0.2291333728105125,
62,0.0005517063406996,0.7482295875427838,-0.4412917158986757,-0.2888826366928648,0.7860675954399315
63,-0.1154659901739534,-0.0429535978555206,-0.1667099118821469,-0.1327197879094441,-0.3759453717321407
64,-0.0758220572466544,-0.5784495343141292,-0.497161719873272,4.54048741037981,
65,-0.0212433501997297,0.8061210401329036,0.5790583135856536,-0.0555889199885893,0.8153620399904877
66,-0.1735659041271313,-0.5784495343141292,-0.2835552822635009,-0.0210972994746859,
67,-0.0627693075079572,0.5793795174882675,-0.1991241469467188,-0.0273438134260227,0.600536113286407
68,-0.1832795783512781,-0.5784495343141292,-0.5054458928764018,-0.0656376598233485,
69,-0.0497165577692599,-0.0911964750139538,0.0497381897228837,-0.2125665314613149,-0.9423046330428988
70,-0.45738732286392,-0.5784495343141292,-0.5341515156081771,-0.3011040770324369,
71,,0.420178022865438,,-0.333341520772597,-0.7079490766384472
72,-0.7762386792715381,-0.5784495343141292,0.2345426770078198,-0.273130558032972,
73,-0.2177631218469992,-0.3710051625328665,0.2902200257962968,-0.19817239061693,
74,-0.2422294387990689,-0.5784495343141292,-0.5022670823054334,-0.2934996252655921,
75,-0.0109225713365737,0.9894439733349498,-0.2326943131280063,-0.0917100658811023,0.6786546320878909
76,0.1176014807416682,-0.3131137099427465,3.214581259697643,-0.3234258588437575,
77,-0.1452141174854029,-0.5784495343141292,-0.5359817398763105,-0.0107769720768251,
78,-0.3479870669144669,-0.5784495343141292,-0.0899849840101368,-0.26769880677094,
79,-0.281084135695656,-0.5784495343141292,-0.3195336382712797,-0.1479286914431337,
80,-0.2251090879790102,1.0473354259250698,0.1987569761861603,-0.3175351246000838,0.8055972251403025
81,-0.2662100720399312,-0.5784495343141292,-0.55255008588257,-0.1585206064040962,
82,-0.4521662229684411,-0.5784495343141292,0.1674023446452447,-0.271772620217464,
